iter	CrossEntropy
0	0.6833262143
1	0.6716826223
2	0.6634514033
3	0.6548503582
4	0.6435150273
5	0.6373407223
6	0.6289062821
7	0.6230097397
8	0.6146699484
9	0.6092070907
10	0.5999987026
11	0.594764351
12	0.5899186707
13	0.5824390175
14	0.577758934
15	0.5723502478
16	0.5679954934
17	0.5638143455
18	0.5599373624
19	0.5552857341
20	0.5525120477
21	0.5473151731
22	0.5420358879
23	0.5369581663
24	0.535519967
25	0.5288788355
26	0.5256191254
27	0.5222240457
28	0.5187484311
29	0.5150098232
30	0.5124500132
31	0.509674382
32	0.5063370746
33	0.5028553306
34	0.4993471395
35	0.4933569653
36	0.4901727161
37	0.488417328
38	0.4862221877
39	0.4815737744
40	0.4788984503
41	0.4754418327
42	0.4723888916
43	0.4706575837
44	0.4683748133
45	0.4657042016
46	0.4632047498
47	0.4598644086
48	0.4565807223
49	0.4529915571
50	0.4514437643
51	0.449144589
52	0.4468637322
53	0.4435950793
54	0.4408203142
55	0.4390894117
56	0.4367378129
57	0.4342602077
58	0.4319312549
59	0.4284210337
60	0.4244372769
61	0.421036638
62	0.4189954983
63	0.4162562927
64	0.4144585843
65	0.4122915916
66	0.4091463876
67	0.4052754334
68	0.4036816908
69	0.4016602017
70	0.398038281
71	0.3953687228
72	0.3933338804
73	0.3921136051
74	0.38968151
75	0.3866969784
76	0.3849225023
77	0.3826380227
78	0.3809975067
79	0.378595878
