iter	Passed	Remaining
0	48	24087
1	87	21685
2	120	19901
3	152	18931
4	183	18125
5	210	17310
6	239	16855
7	272	16770
8	301	16452
9	327	16053
10	368	16389
11	404	16460
12	440	16500
13	470	16346
14	499	16158
15	526	15918
16	553	15737
17	578	15486
18	604	15295
19	628	15093
20	679	15506
21	707	15372
22	737	15293
23	763	15136
24	788	14989
25	816	14876
26	849	14874
27	881	14851
28	909	14772
29	940	14740
30	969	14668
31	1000	14629
32	1030	14580
33	1062	14562
34	1097	14574
35	1122	14472
36	1174	14692
37	1204	14640
38	1239	14648
39	1265	14553
40	1296	14514
41	1324	14439
42	1361	14474
43	1443	14955
44	1511	15283
45	1570	15499
46	1641	15818
47	1677	15800
48	1707	15712
49	1734	15606
50	1765	15540
51	1795	15467
52	1829	15426
53	1854	15313
54	1880	15216
55	1908	15129
56	1937	15057
57	1967	14992
58	1998	14935
59	2032	14906
60	2070	14897
61	2103	14856
62	2132	14790
63	2163	14739
64	2196	14699
65	2233	14685
66	2263	14630
67	2294	14575
68	2323	14511
69	2353	14458
70	2386	14422
71	2419	14383
72	2447	14315
73	2479	14271
74	2508	14214
75	2536	14149
76	2564	14086
77	2595	14039
78	2623	13978
79	2650	13914
80	2676	13842
81	2705	13789
82	2736	13749
83	2762	13681
84	2790	13625
85	2822	13585
86	2850	13530
87	2879	13481
88	2907	13426
89	2936	13377
90	2967	13337
91	2998	13299
92	3028	13255
93	3056	13202
94	3084	13147
95	3110	13088
96	3138	13039
97	3166	12989
98	3197	12952
99	3224	12896
100	3254	12856
101	3283	12810
102	3311	12763
103	3342	12726
104	3372	12688
105	3399	12635
106	3426	12586
107	3462	12569
108	3491	12526
109	3520	12481
110	3548	12434
111	3577	12395
112	3609	12362
113	3636	12314
114	3666	12274
115	3694	12229
116	3727	12203
117	3759	12169
118	3788	12128
119	3816	12086
120	3848	12054
121	3880	12023
122	3913	11993
123	3942	11953
124	3975	11927
125	4010	11904
126	4040	11865
127	4068	11823
128	4095	11779
129	4128	11750
130	4158	11713
131	4187	11673
132	4218	11639
133	4247	11600
134	4276	11563
135	4305	11522
136	4332	11480
137	4361	11442
138	4396	11417
139	4426	11381
140	4453	11339
141	4482	11299
142	4523	11292
143	4553	11258
144	4581	11217
145	4608	11173
146	4636	11133
147	4675	11120
148	4703	11079
149	4732	11043
150	4758	10998
151	4784	10953
152	4814	10918
153	4844	10884
154	4875	10852
155	4908	10824
156	4938	10788
157	4971	10761
158	5005	10734
159	5034	10698
160	5064	10664
161	5091	10622
162	5119	10583
163	5151	10555
164	5180	10518
165	5215	10492
166	5244	10458
167	5271	10417
168	5300	10381
169	5329	10344
170	5356	10305
171	5390	10280
172	5420	10245
173	5448	10208
174	5475	10169
175	5503	10131
176	5534	10099
177	5562	10062
178	5588	10022
179	5616	9984
180	5646	9951
181	5677	9919
182	5709	9890
183	5738	9855
184	5776	9835
185	5805	9801
186	5831	9760
187	5858	9721
188	5883	9680
189	5910	9642
190	5938	9607
191	5964	9568
192	5998	9541
193	6025	9504
194	6056	9473
195	6083	9436
196	6108	9395
197	6139	9364
198	6170	9333
199	6200	9301
200	6233	9272
201	6260	9235
202	6286	9197
203	6314	9162
204	6343	9128
205	6373	9096
206	6404	9065
207	6432	9029
208	6461	8996
209	6488	8959
210	6513	8921
211	6541	8886
212	6567	8849
213	6594	8813
214	6623	8780
215	6650	8744
216	6685	8719
217	6713	8684
218	6742	8651
219	6770	8617
220	6799	8583
221	6825	8547
222	6853	8512
223	6878	8475
224	6908	8444
225	6940	8414
226	6968	8380
227	6996	8347
228	7022	8309
229	7058	8285
230	7086	8252
231	7113	8217
232	7138	8180
233	7164	8143
234	7192	8110
235	7221	8077
236	7248	8043
237	7278	8012
238	7303	7975
239	7336	7947
240	7369	7919
241	7397	7886
242	7427	7854
243	7453	7820
244	7481	7786
245	7510	7754
246	7542	7726
247	7573	7695
248	7598	7659
249	7626	7626
250	7652	7591
251	7679	7557
252	7709	7526
253	7735	7491
254	7761	7456
255	7784	7419
256	7808	7383
257	7833	7347
258	7860	7314
259	7886	7279
260	7912	7245
261	7940	7213
262	7969	7181
263	7998	7150
264	8028	7119
265	8054	7085
266	8086	7056
267	8115	7024
268	8140	6990
269	8170	6959
270	8197	6927
271	8226	6895
272	8256	6865
273	8281	6830
274	8306	6795
275	8335	6765
276	8363	6733
277	8390	6700
278	8416	6666
279	8444	6634
280	8470	6601
281	8498	6569
282	8525	6536
283	8552	6504
284	8579	6472
285	8609	6442
286	8640	6413
287	8672	6383
288	8701	6352
289	8731	6322
290	8761	6292
291	8789	6261
292	8816	6228
293	8844	6197
294	8874	6167
295	8899	6133
296	8925	6100
297	8953	6069
298	8979	6036
299	9008	6005
300	9034	5973
301	9060	5940
302	9084	5906
303	9112	5875
304	9137	5842
305	9166	5811
306	9191	5778
307	9220	5747
308	9247	5715
309	9273	5683
310	9305	5654
311	9331	5623
312	9358	5591
313	9385	5559
314	9412	5528
315	9442	5498
316	9470	5467
317	9500	5437
318	9528	5406
319	9553	5374
320	9580	5342
321	9610	5312
322	9637	5281
323	9665	5250
324	9694	5220
325	9721	5188
326	9746	5156
327	9772	5124
328	9799	5093
329	9824	5061
330	9850	5029
331	9879	4999
332	9906	4967
333	9933	4936
334	9963	4907
335	9989	4876
336	10017	4845
337	10048	4816
338	10073	4784
339	10101	4753
340	10131	4724
341	10158	4693
342	10189	4664
343	10213	4631
344	10240	4601
345	10268	4570
346	10296	4539
347	10321	4508
348	10348	4477
349	10373	4445
350	10398	4414
351	10424	4383
352	10449	4351
353	10476	4320
354	10504	4290
355	10531	4259
356	10559	4229
357	10587	4199
358	10619	4170
359	10647	4140
360	10674	4110
361	10704	4080
362	10735	4051
363	10762	4021
364	10787	3989
365	10812	3958
366	10843	3929
367	10871	3899
368	10899	3869
369	10925	3838
370	10952	3808
371	10978	3777
372	11003	3746
373	11028	3715
374	11054	3684
375	11077	3653
376	11102	3622
377	11133	3593
378	11168	3565
379	11195	3535
380	11221	3504
381	11247	3474
382	11279	3445
383	11307	3415
384	11336	3386
385	11366	3357
386	11394	3327
387	11420	3296
388	11447	3266
389	11480	3238
390	11507	3207
391	11533	3177
392	11561	3147
393	11589	3118
394	11617	3088
395	11646	3058
396	11670	3027
397	11697	2997
398	11722	2967
399	11749	2937
400	11776	2907
401	11807	2878
402	11834	2848
403	11863	2818
404	11895	2790
405	11922	2760
406	11949	2730
407	11978	2700
408	12006	2671
409	12034	2641
410	12062	2612
411	12089	2582
412	12118	2552
413	12146	2523
414	12186	2496
415	12213	2466
416	12241	2436
417	12268	2406
418	12292	2376
419	12317	2346
420	12344	2316
421	12370	2286
422	12395	2256
423	12425	2227
424	12452	2197
425	12481	2168
426	12512	2139
427	12540	2109
428	12566	2079
429	12594	2050
430	12627	2021
431	12656	1992
432	12683	1962
433	12711	1933
434	12741	1903
435	12774	1875
436	12804	1845
437	12832	1816
438	12859	1786
439	12885	1757
440	12909	1727
441	12936	1697
442	12962	1667
443	12989	1638
444	13020	1609
445	13048	1579
446	13075	1550
447	13101	1520
448	13131	1491
449	13156	1461
450	13188	1432
451	13215	1403
452	13247	1374
453	13295	1347
454	13328	1318
455	13352	1288
456	13378	1258
457	13409	1229
458	13437	1200
459	13464	1170
460	13494	1141
461	13527	1112
462	13553	1083
463	13579	1053
464	13606	1024
465	13632	994
466	13676	966
467	13722	938
468	13757	909
469	13793	880
470	13827	851
471	13854	821
472	13879	792
473	13909	762
474	13941	733
475	13967	704
476	13992	674
477	14022	645
478	14053	616
479	14082	586
480	14108	557
481	14135	527
482	14166	498
483	14193	469
484	14224	439
485	14249	410
486	14273	381
487	14299	351
488	14328	322
489	14355	292
490	14395	263
491	14436	234
492	14473	205
493	14505	176
494	14529	146
495	14560	117
496	14588	88
497	14619	58
498	14653	29
499	14687	0
